answerKey,question,choices
E,A fencing thrust with a sharp sword towards a person would result in what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['injury', 'small cuts', 'fever', 'competition', 'puncture wound'],
      dtype=object)}"
E,"Unlike a spider and his many sight seers, people only have what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['tongues', 'names', 'brains', 'feelings', 'two eyes'], dtype=object)}"
D,Where do adults use glue sticks?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['classroom', 'desk drawer', 'at school', 'office',
       'kitchen drawer'], dtype=object)}"
D,What could go on top of wood?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['lumberyard', 'synagogue', 'floor', 'carpet', 'hardware store'],
      dtype=object)}"
C,"The artist was sitting quietly pondering, then suddenly he began to paint when what struck him?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['sadness', 'anxiety', 'inspiration', 'discomfort', 'insights'],
      dtype=object)}"
D,"Though the thin film seemed fragile, for it's intended purpose it was actually nearly what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['indestructible', 'durable', 'undestroyable', 'indestructible',
       'unbreakable'], dtype=object)}"
D,Where could you find a toilet that only friends can use?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['rest area', 'school', 'stadium', 'apartment', 'hospital'],
      dtype=object)}"
E,"What is someone who isn't clever, bright, or competent called?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['clumsy', 'ineffectual', 'dull', 'clumsy', 'stupid'], dtype=object)}"
D,When wildlife reproduce we often refer to what comes out as what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['raise children', 'have children', 'photo copy', 'offspring',
       'accidently got pregnant somehow'], dtype=object)}"
B,"The weasel was becoming a problem, it kept getting into the chicken eggs kept in the what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['forrest', 'barn', 'public office', 'out of doors', 'freezer'],
      dtype=object)}"
A,Blue read material outside of his comfort zone because he wanted to gain what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['new perspective', 'entertained', 'understanding', 'hunger',
       'tired eyes'], dtype=object)}"
B,After he got hired he hoped for success at his what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['vocation', 'new job', 'michigan', 'working hard', 'manual'],
      dtype=object)}"
B,Committing perjury is a serious what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['indictment', 'crime', 'violence', 'lie', 'go to jail'],
      dtype=object)}"
B,If you are prone to postpone work what will you have to do in order to finish on time?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['eat', 'hasten', 'antedate', 'bring forward', 'advance'],
      dtype=object)}"
E,"Sean was in a rush to get home, but the light turned yellow and he was forced to do what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['take time', 'dawdle', 'go slowly', 'ocean', 'slow down'],
      dtype=object)}"
D,Where would a person be doing when having to wait their turn?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['have patience', 'get in line', 'sing', 'stand in line',
       'turn left'], dtype=object)}"
E,"She was always helping at the senior center, it brought her what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['satisfaction', 'heart', 'feel better', 'pay', 'happiness'],
      dtype=object)}"
C,"The lock kept the steering wheel from moving, but the thief still took his chances and began to work on the what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['keep cloesd', 'train', 'ignition switch', 'drawer', 'firearm'],
      dtype=object)}"
C,Who is a police officer likely to work for?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['beat', 'direct traffic', 'city', 'street', 'president'],
      dtype=object)}"
B,"If you have leftover cake, where would you put it?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['quandry', 'refrigerator', 'oven', 'night stand', 'bakery'],
      dtype=object)}"
A,"A human wants to submerge himself in water, what should he use?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['whirlpool bath', 'coffee cup', 'cup', 'soft drink', 'puddle'],
      dtype=object)}"
B,Where is a doormat likely to be in front of?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['facade', 'front door', 'doorway', 'entrance porch', 'hallway'],
      dtype=object)}"
B,Bob the lizard lives in a warm place with lots of water.  Where does he probably live?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['rock', 'tropical rainforest', 'jazz club', 'new mexico',
       'rocky places'], dtype=object)}"
B,August needed  money because he was afraid that he'd be kicked out of his house.  What did he need money to do?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['control people', 'pay bills', 'hurt people', 'buy food',
       'get things'], dtype=object)}"
E,"He needed more information to fix it, so he consulted the what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['chickens', 'google', 'newspaper', 'online', 'manual'],
      dtype=object)}"
E,Where can you put a picture frame when it's not hung vertically?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['art show', 'wall', 'newspaper', 'car', 'table'], dtype=object)}"
D,James knew that he shouldn't have been buying beer for minors.  He didn't even get paid for it.  Why was this bad?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['lose money', 'fun', 'have no money', 'broken law', 'relaxation'],
      dtype=object)}"
E,What is the result of applying for  job?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['anxiety and fear', 'increased workload', 'praise', 'less sleep',
       'being employed'], dtype=object)}"
A,What must someone do before they shop?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['get money', 'have money', 'bring cash', 'go to market',
       'bring cash'], dtype=object)}"
E,"Because John was first violin, he had to bring something important to work ever day. What did he need to bring to work?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['music store', 'obesity', 'symphony orchestra', 'ochestra',
       'violin case'], dtype=object)}"
E,What is a place that usually does not have an elevator and that sometimes has a telephone book?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['at hotel', 'kitchen', 'library', 'telephone booth', 'house'],
      dtype=object)}"
C,Who is likely to be excited about a crab?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['fish market', 'pet shop', 'fishmongers', 'intertidal zone',
       'obesity'], dtype=object)}"
C,Where can a human find clothes that aren't pants?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['pants shop', 'on planet earth', 'dress shop', 'school',
       'train wreck'], dtype=object)}"
B,"If I was getting drunk, and people couldn't understand me, what might I be having?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['a seizure', 'slurred speech', 'death', 'forgetfulness',
       'pass out'], dtype=object)}"
D,"When a person is beginning work, what are they building?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['time', 'accomplishing', 'working', 'momentum', 'tiredness'],
      dtype=object)}"
C,"A child wants to play, what would they likely want?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['fall down', 'breathe', 'play tag', 'be dismembered by a chainsaw',
       'become adult'], dtype=object)}"
D,Talking to the same person about the same thing over and over again is something someone can what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['social life', 'friendship', 'eye contact', 'get tired of',
       'learn lessons from'], dtype=object)}"
E,The teacher doesn't tolerate noise during a test in their what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['movie theatre', 'bowling alley', 'factory', 'store', 'classroom'],
      dtype=object)}"
B,"The freeway had no traffic and few buildings, where is it?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['california', 'countryside', 'big town', 'florida', 'america'],
      dtype=object)}"
B,"If there is a place that is hot and arid, what could it be?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['bland', 'lifeless', 'sandy', 'neutral', 'freezing'], dtype=object)}"
A,What is likely to satisfy someone's curiosity?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['hear news', 'read book', 'see favorite show', 'comedy show',
       'go somewhere'], dtype=object)}"
B,If you are in a bar in a glove shaped state where are you?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['in my pocket', 'michigan', 'new york city', 'restaurant',
       'public house'], dtype=object)}"
E,Where would a computer user be using their own computer?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['hell', 'school', 'indoors', 'internet cafe', 'house'],
      dtype=object)}"
C,Crabs live in what sort of environment?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['maritime', 'bodies of water', 'saltwater', 'galapagos',
       'fish market'], dtype=object)}"
D,Where can you find a snake in tall grass?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['tree', 'in a jar', 'pet shops', 'feild', 'tropical forest'],
      dtype=object)}"
A,What is a place that has a bench nestled in trees?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['state park', 'bus stop', 'bus depot', 'statue', 'train station'],
      dtype=object)}"
A,Where is a human likely to go as a result of being hungry?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['eat in restaurant', 'make bread', 'have lunch', 'cook dinner',
       'friends house'], dtype=object)}"
D,He was beginning to regret taking the fight when he saw how what his opponent was?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['fun', 'joy', 'satisfaction', 'confident', 'pride'], dtype=object)}"
A,Where would you find a single shower curtain being used?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['bathtub', 'washing area', 'hotel', 'shower stall',
       'department store'], dtype=object)}"
C,Where is a good idea but not required to have a fire extinguisher?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['school bus', 'boat', 'house', 'hospital', 'school'], dtype=object)}"
D,What continent has the most castles?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['fairy tale', 'edinburgh', 'germany', 'europe', 'antarctica'],
      dtype=object)}"
E,If you have to read a book that is very dry and long you may become what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['have time', 'boring', 'learn new', 'enjoyable', 'bored'],
      dtype=object)}"
E,Sally used a clipboard to hold her papers while she read off names at the beginning of the day.  Where might she work?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['desk', 'windows 95', 'office supply store', 'see work', 'school'],
      dtype=object)}"
D,The kids didn't clean up after they had done what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['learn things', 'play games', 'disneyland', 'play with toys',
       'talking'], dtype=object)}"
A,"Despite the name a pawn can be quite versatile, all the parts are important in a what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['chess game', 'scheme', 'chess set', 'checkers', 'north carolina'],
      dtype=object)}"
C,What would not be true about a basketball if it had a hole in it but it did not lose its general shape?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['punctured', 'popular in america', 'full of air', 'gone', 'round'],
      dtype=object)}"
B,"If you are awaking multiple times throughout the night because a lot is on your mind, what is a likely cause?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['irritability', 'depression', 'getting out of bed', 'happiness',
       'discomfort'], dtype=object)}"
C,Where does a wild bird usually live?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['cage', 'sky', 'countryside', 'desert', 'windowsill'], dtype=object)}"
E,Where would you expect to find white mice?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['bell cat', 'bush', 'attic', 'countryside', 'laboratory'],
      dtype=object)}"
B,John felt that his actions were fate.   Harry said that he could have always made a different what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['free will', 'choice', 'will', 'alcohol', 'freedom'], dtype=object)}"
C,What could committing murder prevent someone from doing?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['go to jail', 'cry', 'find god', 'guilty conscience', 'problems'],
      dtype=object)}"
B,"George didn't have a car, but he still had his two feet.   His socks were smelly and his soles were blistered, but that didn't matter.  He could still do what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['michigan', 'walk', 'stay still', 'stink', 'hands'], dtype=object)}"
D,A crane uses many a steel cable when working a what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['abaft', 'ship', 'winch', 'construction site', 'building'],
      dtype=object)}"
E,What is the main purpose of farmers?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['raise cattle', 'grow corn', 'farm land', 'drive tractors',
       'supply food'], dtype=object)}"
A,Where can I put this penny to save for later?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['piggy bank', 'wallet', 'toy', 'ground', 'pocket'], dtype=object)}"
D,Where would you put pans if you want to bring them with you?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['cooking', 'cook food', 'kitchen', 'backpack', 'drawer'],
      dtype=object)}"
B,"If you're remembering something, it's because of your what of it to begin with?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['knowledge', 'knowing', 'forgetful', 'pleasure', 'depression'],
      dtype=object)}"
C,Friday was James's 5th Anniversary.  They planned on going to bed early so that they could spend a long time doing what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['rest', 'insomnia', 'making love', 'sleeping in', 'texting'],
      dtype=object)}"
C,"The teens were trying to hide that they get drink, but when they walked in the door their what gave it away?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['health', 'fall down', 'stagger', 'get arrested', 'vomit'],
      dtype=object)}"
C,You'll find a landing at the top of what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['ocean', 'apartment building', 'stairwell', 'airport', 'room'],
      dtype=object)}"
D,"Anybody could be hired in the kitchen, what was needed of them?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['forget', 'oil squeaky hinge', 'question authority', 'wash dishes',
       'oik squeaky hinge'], dtype=object)}"
E,Where can you find a number of wind instruments together in public?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['music store', 'create music', 'zoo', 'music room', 'symphony'],
      dtype=object)}"
E,A mountie got off at a subway stop.  What city might he be in?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['urban area', 'metropolis', 'chicago', 'new york city', 'toronto'],
      dtype=object)}"
E,What do you want someone to do when you illustrate point?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['did not understand', 'accepting', 'make clear', 'understood',
       'understanding'], dtype=object)}"
B,Billy set aside a block of time for having fun after work. Why might he do this?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['happiness', 'stress relief', 'pleasure', 'ocean', 'may laugh'],
      dtype=object)}"
D,"The man in the white suit was very lazy.  He did nothing useful.  Meanwhile, the ban in the blue had put in effort and was very what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['restless', 'active', 'lazybutt', 'productive', 'hard work'],
      dtype=object)}"
B,What would you be unable to do if you have too much greed?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['keep things', 'make friends', 'play poker', 'conquer opponent',
       'lie'], dtype=object)}"
E,"It was a long trip from the farm, so he stayed in a hotel when he arrived at the what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['bed away from home', 'wwii bunker', 'resort', 'las vegas', 'city'],
      dtype=object)}"
B,I did not need a servant.  I was not a what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['freedom', 'rich person', 'hired help', 'in charge', 'busy'],
      dtype=object)}"
D,How would you get from one side of a canal to another?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['michigan', 'amsterdam', 'venice', 'bridge', 'barges to travel on'],
      dtype=object)}"
D,"When learning about the world and different cultures, what is important if you are committed to eliminating preconceived notions","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['newness', 'loss of innocence', 'enlightenment', 'open mind',
       'smartness'], dtype=object)}"
E,"An underrated thing about computers is how they manage workflow, at one time it was a big deal when they could first do what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['share files', 'do arithmetic', 'turn on', 'cost money',
       'multitask'], dtype=object)}"
D,Obstructing justice is sometimes an excuse used for police brutality which causes what in people?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['committing perjury', 'prosecution', 'attack', 'getting hurt',
       'riot'], dtype=object)}"
D,While washing clothes they became what when caught on the sharp object?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['damaged', 'wet clothes', 'wear out', 'torn', 'have fun'],
      dtype=object)}"
E,Seafood restaurants are used to draw tourists where?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['maine', 'shoe shop', 'city', 'boston', 'coastal cities'],
      dtype=object)}"
A,James looked up and saw the start twinkling in the black yonder.  He marveled the sheer number of them and the size of what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['universe', 'orbit', 'night sky', 'outer space', 'his wallet'],
      dtype=object)}"
E,What would encourage someone to continue playing tennis?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['becoming tired', 'tennis elbow', 'exercise', 'hunger', 'victory'],
      dtype=object)}"
C,James found the sound relaxing.   It was so relaxing he almost did what despite his efforts?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['deep breathing', 'worried', 'fall asleep', 'invigorating',
       'feeling good'], dtype=object)}"
C,What regions of a town would you have found a dime store?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['commercial building', 'old movie', 'small neighborhood', 'past',
       'mall'], dtype=object)}"
E,Where might an unused chess set be stored?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['toy store', 'michigan', 'living room', 'attic', 'cupboard'],
      dtype=object)}"
D,"james told his son to settle down and be careful.  There were many frogs mating in the area, and James didn't want his son to do what to them?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['wander', 'migrate', 'scare', 'disturb', 'agitate'], dtype=object)}"
B,"A man wants air conditioning while we watches the game on Saturday, where will it likely be installed?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['car', 'house', 'offices', 'park', 'movie theatre'], dtype=object)}"
B,What could be playing a balailaika?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['movie dr', 'orchestra', 'music store', 'cat', 'symphony'],
      dtype=object)}"
E,"Sailors drive many different types of boats, what type of boat involves their namesake.","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['coming home', 'row boat', 'board ship', 'inflatable raft',
       'sail boat'], dtype=object)}"
C,Where could a person avoid the rain?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['bus stop', 'tunnel', 'synagogue', 'fairy tale', 'street corner'],
      dtype=object)}"
E,Why would a person like to have a large house?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['have choice', 'mentally challenged', 'own house', 'obesity',
       'lots of space'], dtype=object)}"
C,Where will a cheap book be found?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['bookstore', 'classroom', 'discount store', 'school room',
       'bedside table'], dtype=object)}"
B,John and James are idiots. They bought two tickets to the Falcons vs the Jets even though neither wanted to see the what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['internet cafe', 'sporting event', 'pressing wrong buttons',
       'obesity', 'hockey game'], dtype=object)}"
C,James noticed that his penis was bigger. .  How might he act toward his plastic surgeon?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['accidental', 'detestable', 'effusive', 'enabled', 'apathetic'],
      dtype=object)}"
D,Who do professors work with?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['methods of facts', 'teach courses', 'wear wrinkled tweed jackets',
       'school students', 'state facts'], dtype=object)}"
D,Colorful anemone look somewhat like what object you find on window sills?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['intertidal zone', 'coral sea', 'under water', 'flower bed',
       'florida keys'], dtype=object)}"
A,From where do aliens arrive?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['outer space', 'weekly world news', 'roswell', 'universe', 'mars'],
      dtype=object)}"
B,"The hikers stopped to have a drink, simply put they what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['had a party', 'were thirsty', 'refreshment', 'getting drunk',
       'celebrating'], dtype=object)}"
D,When you get up in the morning before you begin work you should do what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['apply for job', 'sleep', 'concentrate', 'shower', 'just do'],
      dtype=object)}"
B,"The kitten had nothing to dig it's claws into, so when it tried to stop it slid across what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['living room', 'floor', 'warm place', 'carpet', 'farmhouse'],
      dtype=object)}"
E,If a person is trying to keep something in their hand what should they do?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['complete collection', 'own house', 'procrastinate', 'explode',
       'have to hold'], dtype=object)}"
D,Where could you find hundreds of thousands of home?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['field', 'neighborhood', 'star can', 'city or town',
       'apartment building'], dtype=object)}"
D,"Playing baseball is a lot like any other sport, there is always a risk of what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['sore muscles', 'errors', 'happiness', 'injury', 'fun'],
      dtype=object)}"
C,If I want to watch a movie without leaving my home what might I use?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['drive in movie', 'drive in movie', 'television', 'video store',
       'show'], dtype=object)}"
A,"The victim was to take stand today, they were going to do what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['testify', 'runaway', 'witness', 'tell truth', 'go home'],
      dtype=object)}"
D,What does a successful dog grooming session likely to make a owner feel?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['cleanliness', 'mistakes', 'growth', 'satisfaction', 'late'],
      dtype=object)}"
D,"The runner was in third place, but he pushed harder and thought he might be able to reach second.  What was beginning to do?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['near finish line', 'finish', 'get tired', 'gain ground',
       'trip over'], dtype=object)}"
B,"The tourist entered Mammoth cave, what state were they in?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['west virginia', 'kentucky', 'rocky hills', 'scotland', 'canyon'],
      dtype=object)}"
B,What does someone typically feel when applying for a job?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['horror', 'anxiety and fear', 'rejection', 'increased workload',
       'being employed'], dtype=object)}"
E,"He was on trial for obstructing justice, during which he made a questionable comment and was also found guilty of what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['prosecution', 'getting hurt', 'sweat', 'steam',
       'committing perjury'], dtype=object)}"
E,What kind of feelings does buying presents for others create?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['tears', 'please', 'like', 'thank', 'make happy'], dtype=object)}"
A,What green area is a marmot likely to be found in?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['countryside', 'great plains', 'encyclopedia', 'jungle',
       'north america'], dtype=object)}"
D,"Jan tested the current, and noticed that it was high.  He thought that the wires might have too much what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['later', 'updated', 'still', 'resistance', 'now'], dtype=object)}"
